location,state,country
"US-TX-Wylie-Brockdale Park - 33.0813x-96.5501",Texas,United States
"US-TX-Plano-901 Ledgemont Dr - 33.0776x-96.7073",Texas,United States
"US-CA-San Diego-4454 Pacific Hwy - 32.7517x-117.2010",California,United States
"US-CA-San Diego-Cabrillo National Monument - 32.6749x-117.2396",California,United States
"US-San Diego-885 W Harbor Dr - 32.7084x-117.1713 - May 11, 2016, 3:23 PM",California,United States
"US-CA-San Diego-Ellen Browning Scripps Park - 32.8505x-117.2734",California,United States
"US-CA-Encinitas-215 W K St - 33.0364x-117.2943",California,United States
"US-CA-Borrego Springs-Anza-borrego Desert State Park - 33.2579x-116.4059",California,United States
"Sonny Bono Salton Sea NWR--Unit 1",California,United States
"US-CA-Aguanga-41624-41898 Highway 79 - 33.4686x-116.9362",California,United States
"US-CA-Carlsbad-4750-4798 Bayshore Dr - 33.1427x-117.3211",California,United States
"US-CA-Carlsbad-7350-7398 Gabbiano Ln - 33.0938x-117.3014",California,United States
"US-CA-Carlsbad-Hospital Grove Park - 33.1773x-117.3420",California,United States
"US-CA-Carlsbad-3097 Ocean St - 33.1555x-117.3515",California,United States
"US-CA-Malibu-Charmlee County Park - 34.0415x-118.8941",California,United States
"US-CA-Ventura-3750 Olivas Park Dr - 34.2364x-119.2560",California,United States
"US-CA-Channel Islands National Pk-Channel Islands National Park - 34.0213x-119.5422",California,United States
"US-CA-Squaw Valley-32324 Indian Guide Rd - 36.7317x-119.2273",California,United States
"US-CA-Sequoia National Park - 36.6075x-118.7547 - May 21, 2016, 6:09 AM",California,United States
"Kings Canyon NP--Grant Grove",California,United States
"US-CA-Lemon Cove-37014-37024 Sierra Dr - 36.3904x-118.9605",California,United States
"US-CA-Yosemite National Park - 37.7452x-119.5856 - May 24, 2016, 2:56 PM",California,United States
"US-TX-Wylie-Brockdale Park - 33.0744x-96.5493",Texas,United States
"US-OK-Oklahoma City-Lake Hefner Golf Club - 35.5561x-97.6085",Oklahoma,United States
"US-TX-Wylie-Brockdale Park - 33.0814x-96.5505",Texas,United States
"US-TX-New Hope-101-169 Rockcrest Rd - 33.2106x-96.5649",Texas,United States

"US-MA-Warren-70 Reed St - 42.2054x-72.2030",Massachusetts,United States
"US-MA-Warren-24-76 Old West Brookfield Rd",Massachusetts,United States
"US-MA-Warren-New Reed St - 42.1811x-72.2374",Massachusetts,United States
"US-MA-New Salem-01355 - 42.4993x-72.3261",Massachusetts,United States
"US-MA-West Brookfield-1 Pine Grove Dr",Massachusetts,United States
"Quabbin Reservoir",Massachusetts,United States
"US-MA-Sterling-9 Hall Ave - 42.4152x-71.7426",Massachusetts,United States
"US-MA-Lancaster-158-204 Chace Hill Rd - 42.4277x-71.7151",Massachusetts,United States
"US-MA-Lancaster-81-231 George Hill Rd - 42.4477x-71.6873",Massachusetts,United States
"US-MA-Lancaster-289-291 Seven Bridge Rd - 42.4619x-71.6593",Massachusetts,United States
"US-MA-Lancaster-424-468 Bolton Rd - 42.4455x-71.6586",Massachusetts,United States
"US-MA-Princeton-133-163 Goodnow Rd - 42.4554x-71.9056",Massachusetts,United States

"US-CT-Bridgeport-Pequonnock River - 41.1705x-73.1780",Connecticut,United States
"US-NY-Brookhaven-Long Island Sound - 40.9781x-73.0983",New York,United States
"US-NY-Brookhaven-84 Mill Rd - 40.8398x-72.9435",New York,United States
"US-NY-Brookhaven-Stony Brook University - 40.9112x-73.1194",New York,United States
"US-NY-Brookhaven-221-225 Harbor Beach Rd - 40.9654x-73.0278",New York,United States
